OpenMP,16,128,557061000,557061000,3247
OpenMP,16,512,642978000,642978000,3304
OpenMP,16,2048,1946557000,1946557000,4283
OpenMP,16,8192,22922216000,22922216000,25501
OpenMP,16,32768,358488440000,358488440000,361945
OpenMP,32,128,571964000,571964000,2902
OpenMP,32,512,634230000,634230000,2962
OpenMP,32,2048,1298781000,1298781000,3645
OpenMP,32,8192,12264784000,12264784000,14662
OpenMP,32,32768,192110635000,192110635000,195206
OpenMP,64,128,607076000,607076000,3162
OpenMP,64,512,634501000,634501000,2992
OpenMP,64,2048,997949000,997949000,3355
OpenMP,64,8192,6773710000,6773710000,9287
OpenMP,64,32768,99210306000,99210306000,102681
OpenMP,128,128,661024000,661024000,3163
OpenMP,128,512,670822000,670822000,3466
OpenMP,128,2048,869680000,869680000,3668
OpenMP,128,8192,4162744000,4162744000,6834
OpenMP,128,32768,58288091000,58288091000,61449
OpenMP,256,128,810260000,810260000,3291
OpenMP,256,512,799578000,799578000,3452
OpenMP,256,2048,922960000,922960000,3591
OpenMP,256,8192,3115550000,3115550000,5715
OpenMP,256,32768,39577132000,39577132000,42838
OpenMP,512,128,1147933000,1147933000,4021
OpenMP,512,512,1176198000,1176198000,3835
OpenMP,512,2048,1252508000,1252508000,3911
OpenMP,512,8192,3170061000,3170061000,5886
OpenMP,512,32768,34004898000,34004898000,37404
OpenMP,1024,128,2197787000,2197787000,5602
OpenMP,1024,512,2176902000,2176902000,5433
OpenMP,1024,2048,2325755000,2325755000,5608
OpenMP,1024,8192,4140279000,4140279000,7339
OpenMP,1024,32768,34101920000,34101920000,38143
OpenMP,2048,128,5393684000,5393684000,9116
OpenMP,2048,512,5607037000,5607037000,9715
OpenMP,2048,2048,5522413000,5522413000,9438
OpenMP,2048,8192,7627572000,7627572000,11664
OpenMP,2048,32768,38203251000,38203251000,42819
